Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
62.5,tn-uav-satellite,0,5,-1000000000.0,1,14.1794,9.65881,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
62.5,tn-uav-satellite,1,6,-1000000000.0,1,12.4682,7.94765,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
62.5,tn-uav-satellite,2,7,-1000000000.0,1,10.9676,6.44696,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
64.5,tn-uav-satellite,0,5,-1000000000.0,1,12.9891,8.46853,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
64.5,tn-uav-satellite,1,6,-1000000000.0,1,12.8658,8.34519,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
64.5,tn-uav-satellite,2,7,-1000000000.0,1,12.9726,8.45204,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
66.5,tn-uav-satellite,1,6,-1000000000.0,1,11.5625,7.04193,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
66.5,tn-uav-satellite,2,7,-1000000000.0,1,14.768,10.2474,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
66.5,tn-uav-satellite,0,5,-1000000000.0,1,12.3185,7.79786,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
68.5,tn-uav-satellite,0,5,-1000000000.0,1,8.43753,3.91693,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
68.5,tn-uav-satellite,1,6,-1000000000.0,1,12.7103,8.18965,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
68.5,tn-uav-satellite,2,7,-1000000000.0,1,7.71861,3.19801,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
70.5,tn-uav-satellite,0,5,-1000000000.0,1,11.4547,6.9341,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
70.5,tn-uav-satellite,1,6,-1000000000.0,1,7.20635,2.68575,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
70.5,tn-uav-satellite,2,7,-1000000000.0,1,14.047,9.52639,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
72.5,tn-uav-satellite,2,7,-1000000000.0,1,12.949,8.4284,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
72.5,tn-uav-satellite,0,5,-1000000000.0,1,11.9039,7.38331,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
72.5,tn-uav-satellite,1,6,-1000000000.0,1,12.2172,7.69656,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
74.5,tn-uav-satellite,1,6,-1000000000.0,1,10.929,6.40836,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
74.5,tn-uav-satellite,2,7,-1000000000.0,1,11.5434,7.02278,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
74.5,tn-uav-satellite,0,5,-1000000000.0,1,12.7746,8.254,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
76.5,tn-uav-satellite,0,5,-62.3746,0,12.4455,7.92486,1,TN_DIRECT,TN_DIRECT,True,1
76.5,tn-uav-satellite,1,6,-61.5293,0,12.9109,8.39033,1,TN_DIRECT,TN_DIRECT,True,1
76.5,tn-uav-satellite,2,7,-54.5428,0,7.88546,3.36486,1,TN_DIRECT,TN_DIRECT,True,1
78.5,tn-uav-satellite,0,5,-64.6243,0,11.9281,7.40748,1,TN_DIRECT,TN_DIRECT,True,1
78.5,tn-uav-satellite,1,6,-61.0776,0,9.669,5.1484,1,TN_DIRECT,TN_DIRECT,True,1
78.5,tn-uav-satellite,2,7,-54.8228,0,11.258,6.73735,1,TN_DIRECT,TN_DIRECT,True,1
80.5,tn-uav-satellite,2,7,-53.4086,0,15.0465,10.5259,1,TN_DIRECT,TN_DIRECT,True,1
80.5,tn-uav-satellite,0,5,-62.5959,0,14.6236,10.103,1,TN_DIRECT,TN_DIRECT,True,1
80.5,tn-uav-satellite,1,6,-58.9976,0,13.7992,9.27859,1,TN_DIRECT,TN_DIRECT,True,1
82.5,tn-uav-satellite,2,7,-56.9313,0,12.0984,7.5778,1,TN_DIRECT,TN_DIRECT,True,1
82.5,tn-uav-satellite,1,6,-58.945,0,14.5341,10.0135,1,TN_DIRECT,TN_DIRECT,True,1
82.5,tn-uav-satellite,0,5,-68.9456,0,7.39923,2.87863,1,TN_DIRECT,TN_DIRECT,True,1
84.5,tn-uav-satellite,0,5,-59.7967,0,12.4822,7.96157,1,TN_DIRECT,TN_DIRECT,True,1
84.5,tn-uav-satellite,1,6,-56.4249,0,11.3556,6.83502,1,TN_DIRECT,TN_DIRECT,True,1
84.5,tn-uav-satellite,2,7,-55.7014,0,11.2857,6.76508,1,TN_DIRECT,TN_DIRECT,True,1
86.5,tn-uav-satellite,2,7,-53.6811,0,12.6223,8.10172,1,TN_DIRECT,TN_DIRECT,True,1
86.5,tn-uav-satellite,0,5,-65.8659,0,12.6038,8.08317,1,TN_DIRECT,TN_DIRECT,True,1
86.5,tn-uav-satellite,1,6,-60.5076,0,7.75629,3.23569,1,TN_DIRECT,TN_DIRECT,True,1
88.5,tn-uav-satellite,1,6,-58.4119,0,10.0096,5.48899,1,TN_DIRECT,TN_DIRECT,True,1
88.5,tn-uav-satellite,2,7,-54.5253,0,11.1026,6.58196,1,TN_DIRECT,TN_DIRECT,True,1
88.5,tn-uav-satellite,0,5,-66.7207,0,12.8762,8.35558,1,TN_DIRECT,TN_DIRECT,True,1
90.5,tn-uav-satellite,2,7,-54.6483,0,9.97741,5.45681,1,TN_DIRECT,TN_DIRECT,True,1
90.5,tn-uav-satellite,0,5,-62.781,0,12.9911,8.47052,1,TN_DIRECT,TN_DIRECT,True,1
90.5,tn-uav-satellite,1,6,-62.0861,0,13.2513,8.73065,1,TN_DIRECT,TN_DIRECT,True,1
92.5,tn-uav-satellite,0,5,-66.0542,0,12.8485,8.32788,1,TN_DIRECT,TN_DIRECT,True,1
92.5,tn-uav-satellite,1,6,-60.1098,0,11.3828,6.86216,1,TN_DIRECT,TN_DIRECT,True,1
92.5,tn-uav-satellite,2,7,-53.9415,0,11.4617,6.94109,1,TN_DIRECT,TN_DIRECT,True,1
94.5,tn-uav-satellite,0,5,-64.4048,0,12.7835,8.26294,1,TN_DIRECT,TN_DIRECT,True,1
94.5,tn-uav-satellite,1,6,-63.1384,0,11.0489,6.5283,1,TN_DIRECT,TN_DIRECT,True,1
94.5,tn-uav-satellite,2,7,-50.7207,0,13.1971,8.67646,1,TN_DIRECT,TN_DIRECT,True,1
96.5,tn-uav-satellite,1,6,-61.6316,0,12.1367,7.61605,1,TN_DIRECT,TN_DIRECT,True,1
96.5,tn-uav-satellite,2,7,-51.5532,0,12.6256,8.10499,1,TN_DIRECT,TN_DIRECT,True,1
