Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
48,ASSIGN,2,7,1,174.316,-186.678,383.026,-394.897,294.814,1,1,0,4,3
49,ASSIGN,0,5,1,275.377,203.711,0.645522,366.729,319.456,1,1,0,5,3
49,ASSIGN,1,6,0,-175.801,226.425,-217.43,18.434,212.116,1,1,0,5,3
49,ASSIGN,2,7,2,184.937,-197.272,388.004,-398.48,285.869,1,1,0,5,3
50,ASSIGN,0,5,0,262.477,211.365,-49.4205,-286.042,587.106,1,1,0,4,3
50,ASSIGN,1,6,2,-178.744,211.716,-371.566,362.708,244.905,1,1,0,4,3
50,ASSIGN,2,7,1,195.593,-207.83,388.796,-400.815,273.077,1,1,0,4,3
51,ASSIGN,0,5,0,254.509,198.657,-50.7117,-291.913,577.77,1,1,0,1,1
52,TRACK,0,5,-1,246.586,185.921,-50.7117,-291.913,562.77,1,1,0,0,0
52,TRACK,1,6,-1,-190.554,220.964,-190.554,220.964,0,1,1,1,0,0
52,TRACK,2,7,-1,206.206,-218.43,206.206,-218.43,0,1,1,1,0,0
53,TRACK,0,5,-1,238.663,173.185,-50.7117,-291.913,547.771,1,1,0,0,0
53,TRACK,1,6,-1,-190.554,220.964,-190.554,220.964,0,1,1,1,0,0
53,TRACK,2,7,-1,206.206,-218.43,206.206,-218.43,0,1,1,1,0,0
54,ASSIGN,0,5,2,230.74,160.449,362.383,-296.809,475.831,1,1,0,3,3
54,ASSIGN,1,6,0,-190.554,220.964,-352.468,326.702,193.382,1,1,0,3,3
54,ASSIGN,2,7,1,206.206,-218.43,405.976,-370.872,251.29,1,1,0,3,3
55,ASSIGN,0,5,2,234.89,146.034,341.81,351.006,231.183,1,1,0,3,3
55,ASSIGN,1,6,0,-203.113,229.166,-348.465,327.528,175.506,1,1,0,3,3
55,ASSIGN,2,7,1,218.131,-227.53,366.664,-297.042,163.994,1,1,0,3,3
56,ASSIGN,0,5,1,241.828,159.333,369.843,-295.944,472.933,1,1,0,2,2
56,ASSIGN,1,6,0,-215.535,237.573,-343.387,328.729,157.021,1,1,0,2,2
57,ASSIGN,0,5,0,245.888,144.893,373.9,-296.789,459.859,1,1,0,1,1
58,TRACK,0,5,-1,250.064,130.486,373.9,-296.789,444.859,1,1,0,0,0
58,TRACK,1,6,-1,-227.749,246.281,-227.749,246.281,0,1,1,1,0,0
58,TRACK,2,7,-1,231.717,-233.888,231.717,-233.888,0,1,1,1,0,0
59,ASSIGN,0,5,0,254.24,116.079,-183.955,283.834,469.209,1,1,0,1,1
60,ASSIGN,0,5,1,240.232,121.442,-184.718,287.808,456.356,1,1,0,3,3
60,ASSIGN,1,6,2,-227.749,246.281,-387.03,351.639,190.973,1,1,0,3,3
60,ASSIGN,2,7,0,231.717,-233.888,-69.4374,-332.774,316.974,1,1,0,3,3
61,ASSIGN,0,5,1,226.265,126.91,389.911,336.345,265.787,1,1,0,3,3
61,ASSIGN,1,6,2,-240.259,254.556,-390.034,353.44,179.473,1,1,0,3,3
61,ASSIGN,2,7,0,217.467,-238.567,-70.0615,-336.788,303.842,1,1,0,3,3
62,ASSIGN,0,5,2,235.502,138.73,394.141,336.035,253.172,1,1,0,6,3
62,ASSIGN,1,6,0,-252.776,262.821,-72.4609,-341.804,630.939,1,1,0,6,3
62,ASSIGN,2,7,1,203.273,-243.416,412.503,-351.255,235.386,1,1,0,6,3
63,ASSIGN,0,5,2,244.902,150.42,372.776,391.342,272.755,1,1,0,10,3
63,ASSIGN,1,6,0,-248.489,248.446,-201.195,-209.755,460.635,1,1,0,10,3
63,ASSIGN,2,7,1,216.607,-250.288,412.833,-348.552,219.455,1,1,0,10,3
64,ASSIGN,0,5,1,251.935,163.669,356.177,420.39,277.078,1,1,0,5,3
64,ASSIGN,1,6,0,-246.948,233.525,-369.581,-35.7942,295.926,1,1,0,5,3
64,ASSIGN,2,7,2,230.02,-257.005,427.355,-355.872,220.717,1,1,0,5,3
65,ASSIGN,0,5,1,257.579,177.567,363.423,418.842,263.47,1,1,0,6,3
65,ASSIGN,1,6,0,-253.163,219.874,-390.564,203.278,138.4,1,1,0,6,3
65,ASSIGN,2,7,2,243.432,-263.724,413.848,-435.909,242.259,1,1,0,6,3
66,ASSIGN,0,5,1,263.605,191.304,394.836,414.621,259.022,1,1,0,7,3
