Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
88.5,tn-uav,2,7,-104.375,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
88.5,tn-uav,0,5,-121.926,UNREACHABLE,58,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
90.5,tn-uav,2,7,-104.984,UNREACHABLE,4,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
90.5,tn-uav,0,5,-119.618,UNREACHABLE,60,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
90.5,tn-uav,1,6,-91.471,HEALTHY,86,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
92.5,tn-uav,0,5,-119.621,UNREACHABLE,62,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
92.5,tn-uav,1,6,-97.8887,HEALTHY,88,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
92.5,tn-uav,2,7,-108.985,UNREACHABLE,6,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
94.5,tn-uav,0,5,-122.868,UNREACHABLE,64,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
94.5,tn-uav,1,6,-94.0622,HEALTHY,90,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
94.5,tn-uav,2,7,-107.637,UNREACHABLE,8,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
96.5,tn-uav,1,6,-97.7303,HEALTHY,92,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
96.5,tn-uav,2,7,-104.39,UNREACHABLE,10,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
96.5,tn-uav,0,5,-122.367,UNREACHABLE,66,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
98.5,tn-uav,0,5,-120.542,UNREACHABLE,68,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
98.5,tn-uav,1,6,-99.4092,HEALTHY,94,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
98.5,tn-uav,2,7,-107.777,UNREACHABLE,12,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
100.5,tn-uav,0,5,-119.031,UNREACHABLE,70,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
100.5,tn-uav,1,6,-105.749,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
100.5,tn-uav,2,7,-110.916,UNREACHABLE,14,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
102.5,tn-uav,0,5,-126.189,UNREACHABLE,72,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
102.5,tn-uav,1,6,-103.087,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
102.5,tn-uav,2,7,-111.185,UNREACHABLE,16,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
104.5,tn-uav,2,7,-107.02,UNREACHABLE,18,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
104.5,tn-uav,0,5,-121.414,UNREACHABLE,74,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
104.5,tn-uav,1,6,-99.3292,HEALTHY,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
106.5,tn-uav,0,5,-122.908,UNREACHABLE,76,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
106.5,tn-uav,1,6,-101.541,UNREACHABLE,0,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
106.5,tn-uav,2,7,-110.048,UNREACHABLE,20,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
108.5,tn-uav,0,5,-123.704,UNREACHABLE,78,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
108.5,tn-uav,1,6,-103.251,UNREACHABLE,2,HEALTHY,0,-999,-999,0,TN_DIRECT,TN_DIRECT,True,1
108.5,tn-uav,2,7,-107.966,UNREACHABLE,22,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
110.5,tn-uav,0,5,-123.871,UNREACHABLE,80,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
110.5,tn-uav,1,6,-104.119,UNREACHABLE,4,HEALTHY,0,-999,-999,0,TN_DIRECT,NO_BACKHAUL_AVAILABLE,False,1
110.5,tn-uav,2,7,-113.58,UNREACHABLE,24,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
112.5,tn-uav,0,5,-131.132,UNREACHABLE,82,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
112.5,tn-uav,1,6,-105.012,UNREACHABLE,6,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
112.5,tn-uav,2,7,-109.911,UNREACHABLE,26,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
114.5,tn-uav,1,6,-105.681,UNREACHABLE,8,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
114.5,tn-uav,0,5,-121.627,UNREACHABLE,84,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
114.5,tn-uav,2,7,-112.952,UNREACHABLE,28,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
116.5,tn-uav,1,6,-108.471,UNREACHABLE,10,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
116.5,tn-uav,0,5,-122.289,UNREACHABLE,86,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
116.5,tn-uav,2,7,-112.803,UNREACHABLE,30,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
118.5,tn-uav,1,6,-107.814,UNREACHABLE,12,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
118.5,tn-uav,0,5,-127.552,UNREACHABLE,88,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
118.5,tn-uav,2,7,-113.375,UNREACHABLE,32,UNREACHABLE,0,-999,-999,0,NO_BACKHAUL_AVAILABLE,NO_BACKHAUL_AVAILABLE,True,0
