Time,UeGroup,UeIndex,UeNodeId,Imsi,ServingCell,ServingRsrpDbm,BestFeasibleTnRsrpDbm,BestFeasibleUavRsrpDbm,ServiceState,StateAgeSec,SensedOrOraclePositionAvailable,ControllerEastM,ControllerNorthM,IncludedInMovementTarget
13,UES2,20,87,87,2,-114.616,-114.672,-112.51,PERSISTING,1,1,329.311886,-370.397412,0
13,UES2,21,88,88,0,NA,-117.38,-125.486,UNKNOWN,1,1,-349.209151,310.349979,0
13,UES2,22,89,89,0,NA,-116.327,-123.148,UNKNOWN,1,1,326.506551,343.766934,0
13,UES2,23,90,90,5,-113.753,-112.825,-110.54,PERSISTING,0,1,335.612943,-349.003569,0
13,UES2,24,91,91,4,-113.668,-115.486,-117.801,PERSISTING,1,1,-336.695547,395.316783,0
13,UES2,25,92,92,0,NA,-117.873,-123.256,UNKNOWN,1,1,335.837571,305.410604,0
13,UES2,26,93,93,0,NA,-120.176,-118.185,UNKNOWN,1,1,348.947072,-419.533347,0
13,UES2,27,94,94,0,NA,-120.524,-103.23,UNKNOWN,1,1,-370.940862,335.239947,0
13,UES2,28,95,95,6,-113.712,-106.283,-118.694,PERSISTING,0,1,327.296456,260.922135,0
13,UES2,29,96,96,2,-119.084,-113.141,-119.702,PERSISTING,1,1,381.534831,-325.785385,0
14,UES1,0,7,7,3,-95.6764,-92.7429,-90.7867,SERVED,0,1,-65.796002,-90.175053,0
14,UES1,1,8,8,1,-79.9677,-75.3786,-84.3358,SERVED,0,1,74.589121,-36.208094,0
14,UES1,2,9,9,3,-75.8933,-63.9723,-78.2342,SERVED,0,1,-118.689720,102.757699,0
14,UES1,3,10,10,4,-96.3316,-85.7572,-89.0462,SERVED,0,1,37.748268,-82.672260,0
14,UES1,4,11,11,1,-87.8334,-93.6027,-105.314,SERVED,0,1,1.745403,94.149768,0
14,UES1,5,12,12,4,-63.6601,-58.7771,-88.655,SERVED,0,1,-76.391299,-4.103614,0
14,UES1,6,13,13,1,-73.6958,-59.5209,-87.7585,SERVED,0,1,89.274604,-9.209696,0
14,UES1,7,14,14,2,-85.6982,-81.6194,-91.2005,SERVED,0,1,37.153567,-0.885887,0
14,UES1,8,15,15,1,-99.0095,-84.9626,-89.3633,SERVED,0,1,8.818424,-87.899287,0
14,UES1,9,16,16,3,-79.109,-75.5552,-90.0802,SERVED,0,1,-28.172659,55.300009,0
14,UES1,10,17,17,4,-84.7563,-71.3259,-90.4903,SERVED,0,1,-44.177202,-44.820451,0
14,UES1,11,18,18,1,-59.8711,-85.1621,-74.5534,SERVED,0,1,16.400505,34.942465,0
14,UES1,12,19,19,7,-80.5934,-106.567,-81.0445,SERVED,0,1,128.498807,-76.352924,0
14,UES1,13,20,20,7,-65.5297,-89.0792,-79.1746,SERVED,0,1,24.632787,29.197631,0
14,UES1,14,21,21,1,-61.2155,-72.7547,-80.2073,SERVED,0,1,20.778472,-30.303381,0
14,UES1,15,22,22,1,-63.6217,-67.2206,-87.0179,SERVED,0,1,93.892748,26.372879,0
14,UES1,16,23,23,4,-88.0512,-93.6744,-71.215,SERVED,0,1,-119.892758,-49.878641,0
14,UES1,17,24,24,1,-63.2562,-66.6157,-81.9067,SERVED,0,1,0.625135,-13.262449,0
14,UES1,18,25,25,1,-57.2155,-81.4153,-71.3624,SERVED,0,1,23.980433,34.208957,0
14,UES1,19,26,26,6,-93.3809,-82.5146,-76.7036,SERVED,0,1,-37.673047,-21.440315,0
14,UES1,20,27,27,6,-94.263,-64.5959,-104.576,SERVED,0,1,-65.932118,78.288177,0
14,UES1,21,28,28,3,-85.0486,-98.0391,-107.553,SERVED,0,1,-97.817287,121.480022,0
14,UES1,22,29,29,2,-73.1182,-105.429,-98.4365,SERVED,0,1,127.909847,21.599751,0
14,UES1,23,30,30,6,-89.5351,-85.6074,-79.1446,SERVED,0,1,26.037487,-44.166919,0
14,UES1,24,31,31,2,-74.8427,-82.7207,-81.8146,SERVED,0,1,29.933904,107.247756,0
14,UES1,25,32,32,1,-67.0812,-65.3355,-92.6469,SERVED,0,1,-28.763055,99.614347,0
14,UES1,26,33,33,5,-104.387,-94.7324,-99.908,ALTERNATIVE_AVAILABLE,0,1,146.827134,-23.894907,0
14,UES1,27,34,34,1,-61.3509,-81.0922,-64.4499,SERVED,0,1,51.718722,9.298607,0
14,UES1,28,35,35,4,-50.9408,-70.774,-88.7158,SERVED,0,1,-115.255715,36.780142,0
14,UES1,29,36,36,6,-65.98,-87.1788,-85.8006,SERVED,0,1,32.211280,25.762291,0
14,UES1,30,37,37,7,-89.9805,-108.378,-66.7536,SERVED,0,1,23.453432,-121.221357,0
14,UES1,31,38,38,1,-74.9443,-78.6422,-101.357,SERVED,0,1,87.384765,6.240271,0
14,UES1,32,39,39,1,-55.7519,-81.9367,-66.9497,SERVED,0,1,42.221206,-6.446301,0
14,UES1,33,40,40,5,-66.6215,-81.9372,-88.4146,SERVED,0,1,-56.856346,-6.947070,0
