t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
6.0,6,10,0,3.39863,17.3763,0.0,1,13.468,2.95392,0.0,-10.06937,-2.95392
8.0,6,10,0,23.6149,22.725,0.294191,0,3.39863,0.0,1.0,20.216269999999998,0.294191
10.0,6,10,0,7.39993,24.7825,0.0,1,23.6149,0.294191,0.0,-16.214969999999997,-0.294191
12.0,6,10,0,20.8517,20.0386,0.267692,0,7.39993,0.0,1.0,13.45177,0.267692
14.0,6,10,0,24.6287,12.5387,3.94293,0,20.8517,0.267692,0.0,3.7769999999999975,3.6752380000000002
16.0,6,10,0,12.9358,26.6175,0.0,1,24.6287,3.94293,0.0,-11.692899999999998,-3.94293
18.0,6,10,0,16.7369,24.5072,0.0,1,12.9358,0.0,1.0,3.801099999999998,0.0
20.0,6,10,0,-10.6884,7.32446,0.0,1,16.7369,0.0,1.0,-27.4253,0.0
22.0,6,10,0,12.3332,17.0213,0.0,1,-10.6884,0.0,1.0,23.0216,0.0
24.0,6,10,0,-6.68445,15.7767,0.0,1,12.3332,0.0,1.0,-19.01765,0.0
26.0,6,10,0,2.18323,9.73908,0.0,1,-6.68445,0.0,1.0,8.86768,0.0
28.0,6,10,0,1.56709,6.48738,0.0,1,2.18323,0.0,1.0,-0.6161399999999999,0.0
30.0,6,10,0,3.85261,24.9857,0.0,1,1.56709,0.0,1.0,2.28552,0.0
32.0,6,10,0,9.97246,9.60752,0.109713,0,3.85261,0.0,1.0,6.11985,0.109713
34.0,6,10,0,19.3534,13.8491,1.78685,0,9.97246,0.109713,0.0,9.38094,1.677137
36.0,6,10,0,6.73788,18.6311,0.0,1,19.3534,1.78685,0.0,-12.61552,-1.78685
4.0,7,10,0,-13.8425,3.00387,0.0,1,-17.3634,0.0,1.0,3.5208999999999993,0.0
6.0,7,10,0,-10.8351,17.3763,0.0,1,-13.8425,0.0,1.0,3.0073999999999987,0.0
8.0,7,10,0,-6.98809,22.725,0.0,1,-10.8351,0.0,1.0,3.847010000000001,0.0
10.0,7,10,0,-2.1741,24.7825,0.0,1,-6.98809,0.0,1.0,4.8139899999999995,0.0
12.0,7,10,0,-14.74,20.0386,0.0,1,-2.1741,0.0,1.0,-12.5659,0.0
14.0,7,10,0,-20.0814,12.5387,0.0,1,-14.74,0.0,1.0,-5.341399999999998,0.0
16.0,7,10,0,-12.1926,26.6175,0.0,1,-20.0814,0.0,1.0,7.888799999999998,0.0
18.0,7,10,0,-0.222081,24.5072,0.0,1,-12.1926,0.0,1.0,11.970519000000001,0.0
20.0,7,10,0,-7.95912,7.32446,0.0,1,-0.222081,0.0,1.0,-7.737039,0.0
22.0,7,10,0,-14.3238,17.0213,0.0,1,-7.95912,0.0,1.0,-6.36468,0.0
24.0,7,10,0,-7.89173,15.7767,0.0,1,-14.3238,0.0,1.0,6.43207,0.0
26.0,7,10,0,-3.812,9.73908,0.0,1,-7.89173,0.0,1.0,4.07973,0.0
28.0,7,10,0,-5.47627,6.48738,0.0,1,-3.812,0.0,1.0,-1.6642700000000006,0.0
30.0,7,10,0,-10.0204,24.9857,0.0,1,-5.47627,0.0,1.0,-4.54413,0.0
32.0,7,10,0,-2.74849,9.60752,0.0,1,-10.0204,0.0,1.0,7.27191,0.0
34.0,7,10,0,-9.65761,13.8491,0.0,1,-2.74849,0.0,1.0,-6.90912,0.0
36.0,7,10,0,-17.7948,18.6311,0.0,1,-9.65761,0.0,1.0,-8.137189999999999,0.0
4.0,8,3,0,24.1239,2.57695,6.52874,0,17.726,0.0,1.0,6.3979,6.52874
6.0,8,3,0,16.2659,16.7524,0.0,1,24.1239,6.52874,0.0,-7.8580000000000005,-6.52874
8.0,8,3,0,18.9487,26.8141,0.0,1,16.2659,0.0,1.0,2.6828000000000003,0.0
10.0,8,3,0,16.3999,11.3857,1.59713,0,18.9487,0.0,1.0,-2.5488,1.59713
12.0,8,3,0,8.73837,18.7126,0.0,1,16.3999,1.59713,0.0,-7.661529999999999,-1.59713
14.0,8,3,0,32.3901,10.6983,7.08879,0,8.73837,0.0,1.0,23.651729999999997,7.08879
16.0,8,3,0,29.0067,18.3486,3.52142,0,32.3901,7.08879,0.0,-3.383399999999998,-3.5673700000000004
18.0,8,3,0,21.6717,15.4906,2.02291,0,29.0067,3.52142,0.0,-7.334999999999997,-1.49851
20.0,8,3,0,16.0366,14.0326,0.645296,0,21.6717,2.02291,0.0,-5.635100000000001,-1.377614
