t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
30.0,6,7,0,7.74834,-100.0,2.79791,0,42.7098,14.188,0.0,-34.96146,-11.39009
32.0,6,7,0,15.9191,-100.0,5.32466,0,7.74834,2.79791,0.0,8.170760000000001,2.52675
34.0,6,7,0,41.2329,-100.0,13.6974,0,15.9191,5.32466,0.0,25.3138,8.37274
36.0,6,7,0,36.4873,-100.0,12.1211,0,41.2329,13.6974,0.0,-4.745600000000003,-1.5762999999999998
4.0,7,1,0,7.81728,-15.294,2.77553,0,10.1133,3.41974,0.0,-2.2960200000000004,-0.6442100000000002
6.0,7,1,0,5.7869,-10.0467,2.12406,0,7.81728,2.77553,0.0,-2.03038,-0.6514699999999998
8.0,7,1,0,13.6223,-9.60823,4.43673,0,5.7869,2.12406,0.0,7.835399999999999,2.31267
10.0,7,1,0,43.2785,-15.7161,14.3387,0,13.6223,4.43673,0.0,29.656200000000002,9.901969999999999
12.0,7,1,0,18.1784,-18.6181,6.04082,0,43.2785,14.3387,0.0,-25.1001,-8.29788
14.0,7,1,0,7.70817,-14.7874,2.73936,0,18.1784,6.04082,0.0,-10.47023,-3.30146
16.0,7,1,0,10.0292,-18.0529,3.44585,0,7.70817,2.73936,0.0,2.3210299999999995,0.7064900000000001
18.0,7,1,0,8.72679,-8.33839,2.88311,0,10.0292,3.44585,0.0,-1.30241,-0.5627400000000002
20.0,7,1,0,7.77509,-11.616,2.70936,0,8.72679,2.88311,0.0,-0.9516999999999998,-0.17374999999999963
22.0,7,1,0,9.85854,-11.8102,3.32469,0,7.77509,2.70936,0.0,2.08345,0.6153299999999997
24.0,7,1,0,8.3635,-11.4869,2.87563,0,9.85854,3.32469,0.0,-1.4950399999999995,-0.4490599999999998
26.0,7,1,0,9.39069,-12.023,3.18883,0,8.3635,2.87563,0.0,1.0271899999999992,0.3131999999999997
28.0,7,1,0,-4.23673,-9.24575,0.299349,0,9.39069,3.18883,0.0,-13.627419999999999,-2.889481
30.0,7,1,0,4.79945,-13.4416,1.94316,0,-4.23673,0.299349,0.0,9.03618,1.643811
32.0,7,1,0,-2.74976,-14.9665,0.569135,0,4.79945,1.94316,0.0,-7.54921,-1.374025
34.0,7,1,0,3.70804,-10.7193,1.6262,0,-2.74976,0.569135,0.0,6.457800000000001,1.0570650000000001
36.0,7,1,0,7.60806,-16.6855,2.72749,0,3.70804,1.6262,0.0,3.90002,1.1012899999999999
4.0,8,10,0,22.3176,-100.0,7.42219,0,22.614,7.52009,0.0,-0.296400000000002,-0.0979000000000001
6.0,8,10,0,15.5527,-100.0,5.20612,0,22.3176,7.42219,0.0,-6.764899999999999,-2.2160699999999993
