Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
28.5,tn-uav-satellite,1,6,-117.146,UNREACHABLE,24,UNREACHABLE,0,11.6335,7.11292,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
28.5,tn-uav-satellite,2,7,-111.602,UNREACHABLE,16,UNREACHABLE,0,12.0577,7.53712,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
30.5,tn-uav-satellite,1,6,-106.73,UNREACHABLE,26,UNREACHABLE,0,11.9628,7.44224,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
30.5,tn-uav-satellite,2,7,-108.49,UNREACHABLE,18,UNREACHABLE,0,12.1976,7.67697,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
30.5,tn-uav-satellite,0,5,-78.3509,HEALTHY,26,HEALTHY,0,13.8974,9.37681,1,TN_DIRECT,TN_DIRECT,True,1
32.5,tn-uav-satellite,2,7,-109.393,UNREACHABLE,20,UNREACHABLE,0,15.1017,10.5811,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
32.5,tn-uav-satellite,0,5,-80.9133,HEALTHY,28,HEALTHY,0,9.25651,4.73591,1,TN_DIRECT,TN_DIRECT,True,1
32.5,tn-uav-satellite,1,6,-113.567,UNREACHABLE,28,UNREACHABLE,0,12.3937,7.87314,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
34.5,tn-uav-satellite,0,5,-82.9408,HEALTHY,30,HEALTHY,0,11.1344,6.6138,1,TN_DIRECT,TN_DIRECT,True,1
34.5,tn-uav-satellite,1,6,-112.247,UNREACHABLE,30,UNREACHABLE,0,11.8441,7.3235,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
34.5,tn-uav-satellite,2,7,-110.874,UNREACHABLE,22,UNREACHABLE,0,13.5523,9.03168,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
36.5,tn-uav-satellite,0,5,-79.4288,HEALTHY,32,HEALTHY,0,12.7031,8.18249,1,TN_DIRECT,TN_DIRECT,True,1
36.5,tn-uav-satellite,1,6,-114.589,UNREACHABLE,32,UNREACHABLE,0,13.3747,8.85408,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
36.5,tn-uav-satellite,2,7,-108.151,UNREACHABLE,24,UNREACHABLE,0,9.20502,4.68442,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
38.5,tn-uav-satellite,1,6,-110.794,UNREACHABLE,34,UNREACHABLE,0,12.68,8.15937,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
38.5,tn-uav-satellite,2,7,-112.664,UNREACHABLE,26,UNREACHABLE,0,11.6128,7.09217,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
38.5,tn-uav-satellite,0,5,-71.4131,HEALTHY,34,HEALTHY,0,14.4969,9.97627,1,TN_DIRECT,TN_DIRECT,True,1
